,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,시군구+도로명+면적,시군구+도로명,계약년월일,경도,위도
5076,대구광역시 수성구 범어동,305-3,305,3,서한두레,84.925,202009,5,"85,000",9,1993.0,달구벌대로496길 72,,-,-,대구광역시 수성구 범어동 달구벌대로496길 72 84.925,대구광역시 수성구 범어동 달구벌대로496길 72,20200905,128.634696429,35.851944725
5077,대구광역시 수성구 범어동,314-2,314,2,을지맨션,113.82,202101,17,"168,000",2,1987.0,달구벌대로496길 88,,-,-,대구광역시 수성구 범어동 달구벌대로496길 88 113.82,대구광역시 수성구 범어동 달구벌대로496길 88,20210117,128.634737271,35.851288321
5078,대구광역시 수성구 범어동,314-2,314,2,을지맨션,114.0,202006,13,"123,000",3,1987.0,달구벌대로496길 88,,-,-,대구광역시 수성구 범어동 달구벌대로496길 88 114.0,대구광역시 수성구 범어동 달구벌대로496길 88,20200613,128.634737271,35.851288321
5079,대구광역시 수성구 범어동,314-2,314,2,을지맨션,114.0,202006,13,"123,000",3,1987.0,달구벌대로496길 88,20200625.0,-,-,대구광역시 수성구 범어동 달구벌대로496길 88 114.0,대구광역시 수성구 범어동 달구벌대로496길 88,20200613,128.634737271,35.851288321
5080,대구광역시 수성구 범어동,314-2,314,2,을지맨션,79.74,202303,6,"72,000",3,1987.0,달구벌대로496길 88,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로496길 88 79.74,대구광역시 수성구 범어동 달구벌대로496길 88,20230306,128.634737271,35.851288321
5081,대구광역시 수성구 범어동,314-2,314,2,을지맨션,79.902,202302,20,"70,000",1,1987.0,달구벌대로496길 88,,중개거래,대구 수성구,대구광역시 수성구 범어동 달구벌대로496길 88 79.902,대구광역시 수성구 범어동 달구벌대로496길 88,20230220,128.634737271,35.851288321
5082,대구광역시 수성구 범어동,103-2,103,2,경북(B),46.94,201910,27,"30,900",3,1980.0,달구벌대로504길 37,,-,-,대구광역시 수성구 범어동 달구벌대로504길 37 46.94,대구광역시 수성구 범어동 달구벌대로504길 37,20191027,128.638698061,35.855567223
5083,대구광역시 수성구 범어동,102,102,0,경북(A),61.09,202008,20,"50,500",2,1980.0,달구벌대로504길 39,,-,-,대구광역시 수성구 범어동 달구벌대로504길 39 61.09,대구광역시 수성구 범어동 달구벌대로504길 39,20200820,128.638595289,35.855224731
5084,대구광역시 수성구 범어동,102,102,0,경북(A),67.21,201805,4,"24,500",3,1980.0,달구벌대로504길 39,,-,-,대구광역시 수성구 범어동 달구벌대로504길 39 67.21,대구광역시 수성구 범어동 달구벌대로504길 39,20180504,128.638595289,35.855224731
5085,대구광역시 수성구 범어동,620,620,0,우방범어타운1,75.75,202101,12,"79,900",4,1983.0,동대구로 230,,-,-,대구광역시 수성구 범어동 동대구로 230 75.75,대구광역시 수성구 범어동 동대구로 230,20210112,0,0
5086,대구광역시 수성구 범어동,620,620,0,우방범어타운1,84.8,202104,28,"120,000",4,1983.0,동대구로 230,,-,-,대구광역시 수성구 범어동 동대구로 230 84.8,대구광역시 수성구 범어동 동대구로 230,20210428,0,0
5087,대구광역시 수성구 범어동,620,620,0,우방범어타운1,84.985,202011,10,"125,000",3,1983.0,동대구로 230,,-,-,대구광역시 수성구 범어동 동대구로 230 84.985,대구광역시 수성구 범어동 동대구로 230,20201110,0,0
5088,대구광역시 수성구 범어동,614-100,614,100,범어청구푸른마을,134.4475,202303,11,"62,000",3,2000.0,동대구로 240,,중개거래,대구 수성구,대구광역시 수성구 범어동 동대구로 240 134.4475,대구광역시 수성구 범어동 동대구로 240,20230311,128.627602238,35.851651880
5089,대구광역시 수성구 범어동,614-100,614,100,범어청구푸른마을,59.99,202110,18,"50,000",15,2000.0,동대구로 240,,-,-,대구광역시 수성구 범어동 동대구로 240 59.99,대구광역시 수성구 범어동 동대구로 240,20211018,128.627602238,35.851651880
